"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-step-size"
"10/03/2022 14:39:12:344 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"161","1","1","deterministic","79","2370","3.664882024424134","36.008617805540695","2370","331","100","2370"
"162","1","1","deterministic","79","1895","12.978616864581655","6.003985308332593","1895","63","100","1895"
"164","1","1","deterministic","80","1827","6.851875943486916","32.91905270921892","1827","310","100","1827"
"165","1","1","deterministic","81","1999","8.61679841148289","7.784548914653177","1999","78","100","1999"
"163","1","1","deterministic","80","2642","7.831716809873993","8.882741062934087","2642","80","100","2642"
"166","1","1","deterministic","81","2029","11.872465028200372","9.77127390647826","2029","105","100","2029"
"168","1","1","deterministic","82","1916","3.921853913329521","11.087354428661243","1916","80","100","1916"
"167","1","1","deterministic","82","2175","4.9360649194676585","39.3893015157752","2175","360","100","2175"
"169","1","1","deterministic","83","1896","8.51936701843912","27.196327221736325","1896","256","100","1896"
"170","1","1","deterministic","83","2085","11.441700671696722","7.957778871458862","2085","77","100","2085"
"171","1","1","deterministic","84","1924","11.73953913998688","8.195869208532699","1924","67","100","1924"
"173","1","1","deterministic","85","1786","1.8557977453746541","26.287060749015293","1786","252","100","1786"
"172","1","1","deterministic","84","2281","9.517265483096073","7.917046860096239","2281","63","100","2281"
"174","1","1","deterministic","85","1741","9.026894604551735","8.712987592680697","1741","86","100","1741"
"175","1","1","deterministic","86","2119","12.032132262683453","7.481367002946737","2119","66","100","2119"
"176","1","1","deterministic","86","1972","8.123204376313755","10.076293938827863","1972","81","100","1972"
"177","1","1","deterministic","87","1764","4.641641572540806","7.295738888414659","1764","70","100","1764"
"178","1","1","deterministic","87","2299","6.050551387075339","39.646499158629354","2299","363","100","2299"
"179","1","1","deterministic","88","2105","20.97263565874069","8.37370974810451","2105","72","100","2105"
"180","1","1","deterministic","88","2243","4.862358364477051","29.49573647791681","2243","283","100","2243"
"181","1","1","deterministic","89","2212","8.76770417380747","31.35220288850499","2212","294","100","2212"
"183","1","1","deterministic","90","1388","3.689968556260046","7.769571950830819","1388","87","100","1388"
"182","1","1","deterministic","89","2247","5.368947693975666","8.447773813046249","2247","96","100","2247"
"184","1","1","deterministic","90","2105","7.214612608199528","25.954449781554263","2105","252","100","2105"
"185","1","1","deterministic","91","1499","6.260930777330656","10.660623455645828","1499","76","100","1499"
"186","1","1","deterministic","91","1929","7.260685021159008","25.077903581079703","1929","240","100","1929"
"187","1","1","deterministic","92","1761","6.5458019820151545","10.628002544890053","1761","68","100","1761"
"188","1","1","deterministic","92","1622","11.80687407311677","8.028990712448556","1622","85","100","1622"
"189","1","1","deterministic","93","1510","15.008764553239937","7.169221995758107","1510","79","100","1510"
"190","1","1","deterministic","93","1845","10.59972133292049","5.723097565071708","1845","63","100","1845"
"191","1","1","deterministic","94","1900","4.846051103076021","6.299711131929071","1900","63","100","1900"
"193","1","1","deterministic","95","1358","4.67942814241545","29.77458764109363","1358","281","100","1358"
"192","1","1","deterministic","94","1839","4.6442320235874135","28.40891027102","1839","273","100","1839"
"194","1","1","deterministic","95","1479","5.136744275453314","10.268397852383897","1479","63","100","1479"
"195","1","1","deterministic","96","1748","2.9715066048857532","28.35253234931103","1748","271","100","1748"
"196","1","1","deterministic","96","1404","12.266199714474354","9.106730807476493","1404","63","100","1404"
"197","1","1","deterministic","97","1909","3.178340513705332","25.98297929087888","1909","250","100","1909"
"198","1","1","deterministic","97","2066","8.505968691478428","39.749532601167886","2066","366","100","2066"
"199","1","1","deterministic","98","1843","15.358281466139541","9.624496230617385","1843","86","100","1843"
"200","1","1","deterministic","98","1512","4.853077167588536","7.507999100822682","1512","63","100","1512"
"201","1","1","deterministic","99","1742","6.692240131529201","6.156283332696297","1742","63","100","1742"
"202","1","1","deterministic","99","1798","12.229964543460667","36.70226662983258","1798","340","100","1798"
"203","1","1","deterministic","100","1355","8.307305589600501","8.548994759505893","1355","63","100","1355"
"204","1","1","deterministic","100","1870","6.9293938041109895","7.340681029015702","1870","63","100","1870"
"206","1","3.86","deterministic","50","20000","6.337204062586275","27.222809265341585","0","3193","99.99316986544635","20000"
"207","1","3.86","deterministic","51","20000","6.235638053256012","17.574194264024694","0","2005","99.99316986544635","20000"
"205","1","3.86","deterministic","50","20000","6.0406870288598045","21.74022122309014","0","2582","99.9726794617854","20000"
"208","1","3.86","deterministic","51","20000","6.480466599609391","20.123338272239625","0","2010","99.9863397308927","20000"
"209","1","3.86","deterministic","52","20000","6.2346684541654405","16.18441718809016","0","1980","99.9863397308927","20000"
"211","1","3.86","deterministic","53","17841","6.525921538210561","15.889273212193238","17841","1965","100","17841"
"210","1","3.86","deterministic","52","19843","6.174847042700688","21.047322404798013","19843","2871","100","19843"
"212","1","3.86","deterministic","53","20000","6.224538405006852","18.069576157488754","0","1866","99.93852878901714","20000"
"213","1","3.86","deterministic","54","18302","6.533988951003893","20.18415116304816","18302","2761","100","18302"
"214","1","3.86","deterministic","54","18301","6.779711180955861","22.27950085465136","18301","2699","100","18301"
"215","1","3.86","deterministic","55","18609","6.804118398708114","20.356056475085612","18609","2687","100","18609"
"216","1","3.86","deterministic","55","20000","6.713647507910464","26.99047700323745","0","3226","99.99316986544635","20000"
"218","1","3.86","deterministic","56","17879","6.403595806293936","17.967428140924426","17879","2438","100","17879"
"219","1","3.86","deterministic","57","17566","6.3902791470536195","17.90912530589045","17566","1973","100","17566"
"217","1","3.86","deterministic","56","18851","6.91476413225148","22.186336743439178","18851","2887","100","18851"
"220","1","3.86","deterministic","57","18091","7.169551601966402","19.50701040476777","18091","2614","100","18091"
"222","1","3.86","deterministic","58","15833","6.818327674126661","16.95930993252331","15833","2010","100","15833"
"223","1","3.86","deterministic","59","18519","6.673371406014641","22.011220995059745","18519","2914","100","18519"
"221","1","3.86","deterministic","58","20000","6.7950675337553905","21.609453674434512","0","2529","99.99316986544635","20000"
"224","1","3.86","deterministic","59","20000","7.01084895406845","21.558186248069273","0","2763","99.99316986544635","20000"
"226","1","3.86","deterministic","60","16146","7.146216574984295","13.650628921225138","16146","1524","100","16146"
"227","1","3.86","deterministic","61","15719","7.261658165950763","23.32891032999852","15719","2731","100","15719"
"225","1","3.86","deterministic","60","20000","7.140710723852809","19.5929645657223","0","1965","99.9590191926781","20000"
"229","1","3.86","deterministic","62","15664","7.468984901800286","25.725425507942177","15664","3084","100","15664"
"231","1","3.86","deterministic","63","13291","7.115535147579603","15.817598491616437","13291","1404","100","13291"
"230","1","3.86","deterministic","62","18312","7.0782799683440745","12.94684736741005","18312","1506","100","18312"
"228","1","3.86","deterministic","61","20000","7.070963844289817","30.316021812895656","0","3499","99.93169865446349","20000"
"233","1","3.86","deterministic","64","13715","6.875004763055773","14.180852455895753","13715","1444","100","13715"
"232","1","3.86","deterministic","63","16401","7.242110390817196","18.993947825563293","16401","2005","100","16401"
"234","1","3.86","deterministic","64","17468","7.28867093657139","20.634422041724086","17468","2735","100","17468"
"235","1","3.86","deterministic","65","18791","7.258092845771881","24.465769951060807","18791","2849","100","18791"
"236","1","3.86","deterministic","65","14001","7.41368724524643","19.117297381548262","14001","1965","100","14001"
"237","1","3.86","deterministic","66","14747","7.443623885948068","21.386468537480624","14747","2704","100","14747"
"238","1","3.86","deterministic","66","16907","7.225261749342179","15.671963050828033","16907","1775","100","16907"
