"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-deterministic-fixed-num"
"10/03/2022 22:56:33:974 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","step-size","r","rw-type","num","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"169","1.28","0","deterministic","100","1427","4.6304083109136975","51.47861762159967","1427","47","100","1427"
"170","1.28","0","deterministic","100","1394","18.060095496445648","51.47861762159967","1394","47","100","1394"
"171","1.28","1","deterministic","100","1551","7.687661674833101","7.427358295339573","1551","52","100","1551"
"172","1.28","1","deterministic","100","1483","15.886694452309762","8.227376617024769","1483","73","100","1483"
"167","1.27","3.82","deterministic","100","9437","11.01476455008827","15.923380048069372","9437","984","100","9437"
"168","1.27","3.82","deterministic","100","10066","10.889808860909934","16.486663879333527","10066","1131","100","10066"
"175","1.29","0","deterministic","100","1390","6.717521597548034","50.68641692707582","1390","46","100","1390"
"176","1.29","0","deterministic","100","1811","6.637844034707131","50.68641692707584","1811","46","100","1811"
"177","1.29","1","deterministic","100","1602","16.38138342222298","4.694481686455928","1602","48","100","1602"
"173","1.28","3.82","deterministic","100","8055","11.083947439865094","14.481745781456038","8055","953","100","8055"
"174","1.28","3.82","deterministic","100","7221","12.132198790493229","15.890615761540275","7221","963","100","7221"
"178","1.29","1","deterministic","100","1403","8.499286859091987","9.730342746439325","1403","63","100","1403"
"181","1.3","0","deterministic","100","1481","19.811976377334453","51.079334887750825","1481","46","100","1481"
"182","1.3","0","deterministic","100","1502","8.627616108901506","51.07933488775081","1502","46","100","1502"
"183","1.3","1","deterministic","100","1463","10.323290070504287","8.783145078568381","1463","48","100","1463"
"184","1.3","1","deterministic","100","1550","8.473610843372846","6.909091116647401","1550","53","100","1550"
"180","1.29","3.82","deterministic","100","7089","11.256756537273407","15.949600418454349","7089","1141","100","7089"
"179","1.29","3.82","deterministic","100","8143","11.40689884244987","12.553091198989222","8143","901","100","8143"
"187","1.31","0","deterministic","100","1611","18.194200696724","51.47225284842582","1611","46","100","1611"
"188","1.31","0","deterministic","100","1727","19.418715333537538","51.472252848425796","1727","46","100","1727"
"185","1.3","3.82","deterministic","100","7307","11.07871171486309","14.080254686008495","7307","894","100","7307"
"189","1.31","1","deterministic","100","1792","7.892655468651734","7.561682790761976","1792","52","100","1792"
"190","1.31","1","deterministic","100","1540","12.123052138131335","6.280333608124222","1540","55","100","1540"
"186","1.3","3.82","deterministic","100","8376","11.296828487113453","14.78081378990015","8376","991","100","8376"
"193","1.32","0","deterministic","100","1601","16.601114546879465","50.64411055346172","1601","45","100","1601"
"194","1.32","0","deterministic","100","2005","8.25454606938384","50.64411055346174","2005","45","100","2005"
"195","1.32","1","deterministic","100","1778","9.55388887529044","9.233329582513614","1778","52","100","1778"
"196","1.32","1","deterministic","100","1423","6.596418437183542","7.013328930167432","1423","62","100","1423"
"191","1.31","3.82","deterministic","100","6398","11.817091453964892","15.728895664798223","6398","990","100","6398"
"192","1.31","3.82","deterministic","100","7239","11.511498402054274","16.812566466553346","7239","1077","100","7239"
"199","1.33","0","deterministic","100","1546","16.505130179689903","51.02777805765462","1546","45","100","1546"
"200","1.33","0","deterministic","100","1611","5.390121823574406","51.02777805765463","1611","45","100","1611"
"201","1.33","1","deterministic","100","1573","9.650806841492413","7.263875917382544","1573","51","100","1573"
"197","1.32","3.82","deterministic","100","6166","12.3098371051971","14.344331912114157","6166","1069","100","6166"
